nome,cpf,dataNascimento,orgao,dataEntrada,dataSaida,matricula,cargo,tipoVinculo,salario,unidadeLotacao,status,sexo,estadoCivil,cor,nacionalidade,email,telefone,avaliacaoDesempenho,cicloAvaliacao
Otávio Silva Machado,30349744505,20/02/1987,DGPP,09/11/2018,28/02/2026,GES-DGPP-000004,Motorista,comissionado,4011.96,Unidade DGPP - Setor 9,exonerado,F,solteira,parda,Brasileira,servidor.30349744505@goias.gov.br,(62) 93546-5462,3.6,2023
Quitéria Correia Ramos,12770398016,05/10/1990,DGPC,29/04/2013,,GES-DGPC-000001,Professor,comissionado,12699.41,Unidade DGPC - Setor 6,ativo,F,divorciado,parda,Brasileira,servidor.12770398016@goias.gov.br,(62) 91058-6464,4.5,2025
Renata Lopes Machado,02627784161,02/07/1983,DGPC,30/09/2008,,GES-DGPC-000002,Analista,efetivo,13857.1,Unidade DGPC - Setor 10,ativo,M,divorciada,branca,Brasileira,servidor.02627784161@goias.gov.br,(62) 98041-3088,3.1,2024
Paulo Alves Barros,44611288226,31/07/1963,DGPC,19/01/2011,,GES-DGPC-000003,Analista,comissionado,7554.62,Unidade DGPC - Setor 40,ativo,M,casada,branca,Brasileira,servidor.44611288226@goias.gov.br,(62) 93900-7755,3.0,2025
Paulo Cardoso Ribeiro,60472420224,20/10/1989,DGPC,07/05/2025,,GES-DGPC-000004,Técnico,efetivo,3253.08,Unidade DGPC - Setor 31,afastado,M,casada,amarela,Brasileira,servidor.60472420224@goias.gov.br,(62) 96728-6000,4.6,2023
Felipe Freitas Cardoso,56482969160,31/12/1979,DGPC,22/01/1999,,GES-DGPC-000005,Assistente,cedido,6065.76,Unidade DGPC - Setor 33,ativo,F,união estável,negra,Brasileira,servidor.56482969160@goias.gov.br,(62) 91452-2889,4.8,2024
Quitéria Oliveira Alves,43288809770,08/01/1976,DGPC,16/01/2021,,GES-DGPC-000006,Segurança,efetivo,11323.98,Unidade DGPC - Setor 21,afastado,F,união estável,parda,Brasileira,servidor.43288809770@goias.gov.br,(62) 97311-4114,3.5,2025
Patrícia Almeida Araújo,61836929056,13/02/1999,SES,19/02/2017,,GES-SES-000001,Assessor,efetivo,10571.58,Unidade SES - Setor 22,ativo,F,solteira,negra,Brasileira,servidor.61836929056@goias.gov.br,(62) 99308-6067,4.3,2024
Mariana Duarte Melo,74047112828,06/02/1996,SES,24/09/2020,,GES-SES-000002,Engenheiro,efetivo,6321.11,Unidade SES - Setor 36,ativo,M,divorciado,negra,Brasileira,servidor.74047112828@goias.gov.br,(62) 94443-8043,4.6,2025
Nicolas Correia Costa,16388612180,28/11/1988,SES,03/05/2017,,GES-SES-000003,Engenheiro,efetivo,6120.3,Unidade SES - Setor 40,ativo,F,solteira,branca,Brasileira,servidor.16388612180@goias.gov.br,(62) 96085-4680,4.6,2023
Leonardo Rodrigues Vieira,66824799726,11/03/1962,SES,27/01/1997,,GES-SES-000004,Assessor,comissionado,9535.35,Unidade SES - Setor 25,ativo,F,viúvo,branca,Brasileira,servidor.66824799726@goias.gov.br,(62) 93417-1090,4.8,2023
Otávio Vieira Souza,24092452004,21/02/1998,SES,05/08/2018,,GES-SES-000005,Analista,efetivo,12725.54,Unidade SES - Setor 30,ativo,M,viúva,negra,Brasileira,servidor.24092452004@goias.gov.br,(62) 98251-9270,3.9,2025
Leonardo Nunes Barbosa,54705723074,02/01/2000,SES,15/10/2019,,GES-SES-000006,Enfermeiro,comissionado,6044.54,Unidade SES - Setor 34,ativo,F,casada,negra,Brasileira,servidor.54705723074@goias.gov.br,(62) 98206-2269,4.4,2023
Patrícia Ferreira Lima,28478457470,17/05/1984,SES,09/06/2017,,GES-SES-000007,Contador,efetivo,10919.21,Unidade SES - Setor 14,ativo,M,viúvo,amarela,Brasileira,servidor.28478457470@goias.gov.br,(62) 96421-9890,3.9,2023
Tatiana Santos Pinto,43021076696,22/07/1978,SES,27/05/2015,,GES-SES-000008,Tecnologista,efetivo,13830.08,Unidade SES - Setor 20,ativo,F,viúvo,branca,Brasileira,servidor.43021076696@goias.gov.br,(62) 98999-4595,3.5,2024
Felipe Ribeiro Vieira,51708310487,09/08/1962,SES,11/06/2012,,GES-SES-000009,Contador,cedido,9049.25,Unidade SES - Setor 26,ativo,M,solteira,amarela,Brasileira,servidor.51708310487@goias.gov.br,(62) 93223-8564,3.4,2024
André Freitas Melo,53260093079,04/01/1994,PM,08/05/2019,,GES-PM-000001,Professor,efetivo,12533.51,Unidade PM - Setor 17,ativo,M,viúva,parda,Brasileira,servidor.53260093079@goias.gov.br,(62) 99837-1853,5.0,2024
Carla Santos Dias,88766845653,12/02/1980,PM,12/03/2001,,GES-PM-000002,Médico,comissionado,10069.63,Unidade PM - Setor 16,ativo,M,viúva,parda,Brasileira,servidor.88766845653@goias.gov.br,(62) 94571-8619,4.4,2024
Hugo Ribeiro Moura,48843613006,20/01/1975,PM,06/03/2022,,GES-PM-000003,Técnico,efetivo,13667.98,Unidade PM - Setor 37,ativo,F,viúvo,branca,Brasileira,servidor.48843613006@goias.gov.br,(62) 92245-4978,3.2,2024
Camila Fernandes Lopes,76893189753,10/11/1970,PM,21/05/2020,,GES-PM-000004,Auditor,efetivo,10376.26,Unidade PM - Setor 1,ativo,F,viúva,parda,Brasileira,servidor.76893189753@goias.gov.br,(62) 98102-6934,4.3,2024
Otávio Cardoso Fernandes,95504476500,22/09/1973,PM,15/07/2014,,GES-PM-000005,Psicólogo,efetivo,12461.09,Unidade PM - Setor 38,ativo,F,divorciada,branca,Brasileira,servidor.95504476500@goias.gov.br,(62) 92419-5569,4.8,2023
Marina Teixeira Carvalho,86304111126,09/09/2001,PM,09/12/2023,,GES-PM-000006,Psicólogo,efetivo,12134.64,Unidade PM - Setor 22,ativo,F,divorciado,parda,Brasileira,servidor.86304111126@goias.gov.br,(62) 99464-4130,3.2,2025
Paulo Costa Ramos,43508719936,17/06/1996,PM,01/06/2025,,GES-PM-000007,Pedagogo,efetivo,3888.72,Unidade PM - Setor 15,ativo,F,casada,negra,Brasileira,servidor.43508719936@goias.gov.br,(62) 97046-8753,4.1,2024
Camila Vieira Cardoso,08923282154,04/03/1998,PM,15/07/2024,,GES-PM-000008,Motorista,efetivo,4211.67,Unidade PM - Setor 13,ativo,F,solteira,branca,Brasileira,servidor.08923282154@goias.gov.br,(62) 94138-4545,4.5,2024
Sofia Rocha Araújo,62677948575,22/05/1985,PM,24/11/2007,,GES-PM-000009,Engenheiro,efetivo,11083.82,Unidade PM - Setor 9,ativo,F,solteiro,parda,Brasileira,servidor.62677948575@goias.gov.br,(62) 95786-3068,4.3,2024
Leonardo Costa Nunes,14530164659,15/03/1969,PM,20/07/1995,,GES-PM-000010,Advogado,efetivo,3401.11,Unidade PM - Setor 31,ativo,M,solteira,amarela,Brasileira,servidor.14530164659@goias.gov.br,(62) 99056-2213,4.2,2025
Samuel Moura Ferreira,82690899744,22/10/1964,PM,21/10/2001,,GES-PM-000011,Enfermeiro,efetivo,11743.99,Unidade PM - Setor 39,ativo,M,união estável,amarela,Brasileira,servidor.82690899744@goias.gov.br,(62) 98381-8253,3.6,2025
Daniel Alves Martins,92710798760,21/06/1998,PM,23/11/2019,,GES-PM-000012,Administrador,efetivo,10527.01,Unidade PM - Setor 11,ativo,M,casado,parda,Brasileira,servidor.92710798760@goias.gov.br,(62) 93564-1043,3.8,2025
Sofia Nogueira Vieira,84455363890,27/02/2002,PM,03/06/2023,,GES-PM-000013,Assistente,efetivo,13609.76,Unidade PM - Setor 38,ativo,M,viúvo,parda,Brasileira,servidor.84455363890@goias.gov.br,(62) 99922-4683,4.3,2024
Thiago Pinto Nogueira,89964166141,04/10/1972,PM,15/03/1998,,GES-PM-000014,Pedagogo,efetivo,10857.53,Unidade PM - Setor 26,ativo,F,união estável,amarela,Brasileira,servidor.89964166141@goias.gov.br,(62) 98172-2317,4.2,2024
Fábio Rocha Pinto,65819776321,30/11/1988,SEEL,14/06/2020,,GES-SEEL-000001,TI,comissionado,14495.0,Unidade SEEL - Setor 18,ativo,M,casado,amarela,Brasileira,servidor.65819776321@goias.gov.br,(62) 99502-8245,4.8,2023
Fábio Costa Barros,27719408845,08/02/1999,ABC,23/03/2024,,GES-ABC-000001,Assessor,efetivo,10640.56,Unidade ABC - Setor 11,ativo,F,viúvo,amarela,Brasileira,servidor.27719408845@goias.gov.br,(62) 95722-7561,4.6,2025
Quitéria Teixeira Pereira,71450826750,17/04/1963,SECAMI,27/05/2015,,GES-SECAMI-000001,Tecnologista,comissionado,12451.65,Unidade SECAMI - Setor 1,ativo,F,viúvo,parda,Brasileira,servidor.71450826750@goias.gov.br,(62) 94073-9494,3.7,2024
Renata Lima Nogueira,31529974003,28/08/1999,SEMAD,27/03/2018,,GES-SEMAD-000001,Pedagogo,comissionado,8471.13,Unidade SEMAD - Setor 2,ativo,M,casado,negra,Brasileira,servidor.31529974003@goias.gov.br,(62) 91224-7684,3.2,2023
João Ramos Nogueira,11223726711,25/05/2001,SGG,17/09/2020,,GES-SGG-000001,Contador,efetivo,7661.24,Unidade SGG - Setor 31,ativo,F,casada,amarela,Brasileira,servidor.11223726711@goias.gov.br,(62) 93369-7284,3.4,2025
Eduarda Cardoso Duarte,90974912310,06/08/2005,GOINFRA,08/09/2025,,GES-GOINFRA-000001,Advogado,comissionado,8740.53,Unidade GOINFRA - Setor 1,ativo,F,divorciado,amarela,Brasileira,servidor.90974912310@goias.gov.br,(62) 93434-8316,4.1,2024
Elisa Vieira Teixeira,80439270650,28/10/1989,EMATER,14/03/2020,,GES-EMATER-000001,Médico,cedido,5594.02,Unidade EMATER - Setor 25,ativo,M,viúvo,parda,Brasileira,servidor.80439270650@goias.gov.br,(62) 96213-8749,4.4,2024
Carla Lima Correia,64217707037,21/08/1994,DPE-GO,19/01/2016,,GES-DPEGO-000001,TI,efetivo,3974.27,Unidade DPEGO - Setor 29,ativo,M,união estável,amarela,Brasileira,servidor.64217707037@goias.gov.br,(62) 91251-3361,3.8,2025
Quitéria Freitas Monteiro,60902965700,06/11/1973,SEDS,10/05/1998,,GES-SEDS-000001,Administrador,efetivo,6644.22,Unidade SEDS - Setor 35,ativo,F,divorciada,amarela,Brasileira,servidor.60902965700@goias.gov.br,(62) 99864-1588,4.2,2023
Helena Alves Alves,47405894275,12/10/1985,AGRODEFESA,17/11/2008,,GES-AGRODEFESA-000001,Pedagogo,efetivo,6303.75,Unidade AGRODEFESA - Setor 2,ativo,M,divorciada,parda,Brasileira,servidor.47405894275@goias.gov.br,(62) 95806-6873,3.7,2023
Lucas Ribeiro Carvalho,82209184380,27/11/1981,UEG,24/09/2023,,GES-UEG-000001,Assistente,efetivo,7275.77,Unidade UEG - Setor 16,ativo,F,casado,branca,Brasileira,servidor.82209184380@goias.gov.br,(62) 98555-5161,3.9,2025
Patrícia Ribeiro Rodrigues,43078900517,03/11/1960,UEG,14/11/2015,,GES-UEG-000002,Pedagogo,comissionado,14355.52,Unidade UEG - Setor 20,afastado,F,divorciado,amarela,Brasileira,servidor.43078900517@goias.gov.br,(62) 95949-4263,5.0,2024
Camila Pinto Nogueira,72566593698,26/07/1969,SEDUC,22/08/2005,,GES-SEDUC-000001,Motorista,efetivo,12511.44,Unidade SEDUC - Setor 26,ativo,F,solteiro,parda,Brasileira,servidor.72566593698@goias.gov.br,(62) 99138-5689,4.6,2023
Yasmin Barbosa Lima,56462121203,10/08/1991,SEDUC,09/07/2014,,GES-SEDUC-000002,Administrador,efetivo,10141.26,Unidade SEDUC - Setor 3,ativo,F,viúva,parda,Brasileira,servidor.56462121203@goias.gov.br,(62) 96977-3153,3.2,2024
Mariana Lima Fernandes,23212835303,23/04/1989,SEDUC,27/01/2024,,GES-SEDUC-000003,Auditor,efetivo,13487.8,Unidade SEDUC - Setor 11,ativo,F,viúva,negra,Brasileira,servidor.23212835303@goias.gov.br,(62) 96549-2886,3.9,2023
Felipe Machado Araújo,23289094936,17/08/1972,SEDUC,13/02/2005,,GES-SEDUC-000004,Assistente,efetivo,2962.85,Unidade SEDUC - Setor 35,ativo,M,viúva,negra,Brasileira,servidor.23289094936@goias.gov.br,(62) 95295-7242,4.6,2024
Bruno Machado Teixeira,08613438083,20/09/1969,SEDUC,09/04/2025,,GES-SEDUC-000005,Segurança,efetivo,3539.64,Unidade SEDUC - Setor 30,ativo,F,viúvo,parda,Brasileira,servidor.08613438083@goias.gov.br,(62) 93290-1742,4.9,2024
Patrícia Lima Melo,10651313643,12/03/2004,SEDUC,04/11/2022,,GES-SEDUC-000006,Pedagogo,efetivo,13907.75,Unidade SEDUC - Setor 35,ativo,F,casado,amarela,Brasileira,servidor.10651313643@goias.gov.br,(62) 92622-9017,4.2,2024
Igor Nunes Dias,63532098601,08/12/1962,SEDUC,18/12/2025,,GES-SEDUC-000007,Auditor,efetivo,10822.46,Unidade SEDUC - Setor 35,ativo,F,solteiro,amarela,Brasileira,servidor.63532098601@goias.gov.br,(62) 95520-4109,4.9,2024
Vinícius Santos Souza,20564175706,22/03/1968,SEDUC,23/09/2024,,GES-SEDUC-000008,Advogado,efetivo,4273.31,Unidade SEDUC - Setor 37,ativo,M,solteira,branca,Brasileira,servidor.20564175706@goias.gov.br,(62) 94538-4817,3.7,2023
João Lima Fernandes,64028398681,02/04/1960,SEDUC,09/06/2007,,GES-SEDUC-000009,Professor,efetivo,4086.14,Unidade SEDUC - Setor 2,ativo,M,solteiro,negra,Brasileira,servidor.64028398681@goias.gov.br,(62) 94898-6304,3.0,2024
Otávio Pereira Rodrigues,27309222458,13/09/1964,SEDUC,07/09/2000,,GES-SEDUC-000010,Psicólogo,efetivo,7035.86,Unidade SEDUC - Setor 38,ativo,M,viúva,branca,Brasileira,servidor.27309222458@goias.gov.br,(62) 91710-9543,3.6,2025
Felipe Lopes Alves,90766148815,17/10/1962,SEDUC,23/09/1997,21/09/2007,GES-SEDUC-000011,Psicólogo,efetivo,7989.68,Unidade SEDUC - Setor 6,exonerado,F,casado,parda,Brasileira,servidor.90766148815@goias.gov.br,(62) 93067-5505,4.2,2025
Sofia Vieira Correia,53110218020,04/03/1989,SEDUC,18/09/2015,26/02/2022,GES-SEDUC-000012,Segurança,efetivo,12079.22,Unidade SEDUC - Setor 8,exonerado,M,viúvo,amarela,Brasileira,servidor.53110218020@goias.gov.br,(62) 94743-7779,3.7,2024
André Lopes Teixeira,35314119188,09/10/1995,SEDUC,06/02/2023,,GES-SEDUC-000013,Professor,efetivo,4585.88,Unidade SEDUC - Setor 31,ativo,M,solteira,parda,Brasileira,servidor.35314119188@goias.gov.br,(62) 92527-8075,3.2,2025
Tatiana Machado Machado,20684885743,06/06/1993,SEDUC,06/05/2014,,GES-SEDUC-000014,Advogado,efetivo,7606.46,Unidade SEDUC - Setor 28,ativo,M,divorciado,negra,Brasileira,servidor.20684885743@goias.gov.br,(62) 96761-2697,4.2,2023
Gabriela Barros Machado,52506393056,18/11/1973,SEDUC,16/06/2024,,GES-SEDUC-000015,Auditor,efetivo,6059.25,Unidade SEDUC - Setor 15,ativo,F,união estável,parda,Brasileira,servidor.52506393056@goias.gov.br,(62) 95381-1474,3.4,2025
Lucas Gomes Pinto,21051907403,20/09/1987,SEDUC,04/05/2013,,GES-SEDUC-000016,Tecnologista,efetivo,11469.34,Unidade SEDUC - Setor 2,ativo,M,união estável,branca,Brasileira,servidor.21051907403@goias.gov.br,(62) 97163-7878,3.9,2023
Samuel Ferreira Souza,01191634388,13/03/1993,SEDUC,08/03/2018,,GES-SEDUC-000017,Contador,efetivo,10028.71,Unidade SEDUC - Setor 6,ativo,F,viúva,amarela,Brasileira,servidor.01191634388@goias.gov.br,(62) 98957-8242,3.8,2023
Hugo Nogueira Cavalcanti,79363272583,18/12/2005,SEDUC,12/04/2024,,GES-SEDUC-000018,Psicólogo,efetivo,6408.51,Unidade SEDUC - Setor 15,ativo,F,solteiro,parda,Brasileira,servidor.79363272583@goias.gov.br,(62) 94349-5938,4.9,2023
Ana Ramos Lopes,54594432379,03/12/1982,SEDUC,27/11/2013,,GES-SEDUC-000019,Engenheiro,efetivo,9031.21,Unidade SEDUC - Setor 15,ativo,F,solteira,amarela,Brasileira,servidor.54594432379@goias.gov.br,(62) 91693-8147,3.0,2023
Felipe Duarte Nogueira,92288483083,01/02/1988,SEDUC,31/12/2018,,GES-SEDUC-000020,Técnico,efetivo,14104.54,Unidade SEDUC - Setor 11,ativo,F,divorciada,parda,Brasileira,servidor.92288483083@goias.gov.br,(62) 98155-2734,3.5,2025
Thiago Freitas Rocha,89926134661,04/12/1995,SEDUC,04/09/2025,,GES-SEDUC-000021,Advogado,efetivo,3693.64,Unidade SEDUC - Setor 8,ativo,M,divorciada,negra,Brasileira,servidor.89926134661@goias.gov.br,(62) 93419-4871,3.2,2024
Eduarda Carvalho Ramos,54599824216,12/09/1977,SEDUC,24/06/2003,,GES-SEDUC-000022,Pedagogo,efetivo,11690.56,Unidade SEDUC - Setor 29,ativo,F,divorciada,branca,Brasileira,servidor.54599824216@goias.gov.br,(62) 98205-2118,3.9,2025
Daniel Barros Correia,20613494202,02/03/1987,SEDUC,10/01/2023,,GES-SEDUC-000023,Assistente,efetivo,8087.39,Unidade SEDUC - Setor 4,ativo,F,divorciado,parda,Brasileira,servidor.20613494202@goias.gov.br,(62) 92479-9307,3.8,2025
Samuel Almeida Teixeira,11444938207,06/09/1963,SEDUC,05/03/2015,,GES-SEDUC-000024,Segurança,efetivo,4565.07,Unidade SEDUC - Setor 4,afastado,F,solteira,negra,Brasileira,servidor.11444938207@goias.gov.br,(62) 92381-9266,4.3,2023
Otávio Ribeiro Araújo,18074256308,24/03/1982,SEDUC,12/11/2019,26/03/2026,GES-SEDUC-000025,Auditor,comissionado,7332.77,Unidade SEDUC - Setor 22,exonerado,M,divorciada,parda,Brasileira,servidor.18074256308@goias.gov.br,(62) 96401-2548,4.1,2024
Vinícius Gomes Freitas,11709206675,28/06/1985,SEDUC,16/10/2014,,GES-SEDUC-000026,Assistente,efetivo,4454.71,Unidade SEDUC - Setor 23,ativo,F,viúvo,branca,Brasileira,servidor.11709206675@goias.gov.br,(62) 92388-6072,4.1,2025
Otávio Ferreira Lopes,96150850307,20/06/1989,SEDUC,14/09/2025,,GES-SEDUC-000027,Contador,efetivo,7042.39,Unidade SEDUC - Setor 12,ativo,M,divorciada,amarela,Brasileira,servidor.96150850307@goias.gov.br,(62) 94145-4711,5.0,2023
Gabriela Correia Fernandes,46669502303,03/12/1966,SEDUC,08/04/2008,,GES-SEDUC-000028,Contador,efetivo,6740.14,Unidade SEDUC - Setor 40,ativo,M,viúvo,branca,Brasileira,servidor.46669502303@goias.gov.br,(62) 93658-3962,4.7,2025
Diego Dias Nunes,36393610166,07/11/1974,SEDUC,19/08/2014,,GES-SEDUC-000029,Segurança,efetivo,11557.88,Unidade SEDUC - Setor 29,ativo,M,união estável,branca,Brasileira,servidor.36393610166@goias.gov.br,(62) 96070-8684,4.8,2023
Sofia Melo Correia,49230293075,31/12/1992,SEDUC,16/10/2023,28/02/2026,GES-SEDUC-000030,Contador,efetivo,4696.08,Unidade SEDUC - Setor 13,exonerado,M,divorciado,parda,Brasileira,servidor.49230293075@goias.gov.br,(62) 98873-7081,4.1,2023
Karina Cardoso Nunes,55288056862,09/03/1971,SEDUC,15/10/2007,,GES-SEDUC-000031,Contador,efetivo,7918.43,Unidade SEDUC - Setor 15,ativo,F,divorciada,parda,Brasileira,servidor.55288056862@goias.gov.br,(62) 97797-1872,3.8,2024
Olívia Santos Teixeira,98784968052,24/02/1981,SEDUC,20/06/2016,01/03/2021,GES-SEDUC-000032,Técnico,comissionado,10404.54,Unidade SEDUC - Setor 10,exonerado,M,solteiro,negra,Brasileira,servidor.98784968052@goias.gov.br,(62) 98740-3273,4.5,2024
Fábio Santos Barbosa,33515184392,30/03/2000,SEDUC,21/02/2025,,GES-SEDUC-000033,Médico,comissionado,9221.01,Unidade SEDUC - Setor 39,ativo,F,solteira,negra,Brasileira,servidor.33515184392@goias.gov.br,(62) 94893-5934,3.2,2023
Juliana Rodrigues Pereira,34634583143,30/08/1997,SEDUC,29/10/2022,,GES-SEDUC-000034,Psicólogo,efetivo,2992.29,Unidade SEDUC - Setor 33,ativo,M,casado,negra,Brasileira,servidor.34634583143@goias.gov.br,(62) 98032-1025,4.2,2023
Fábio Castro Araújo,43782560450,16/05/1997,SEDUC,21/06/2017,,GES-SEDUC-000035,Assistente,comissionado,9165.76,Unidade SEDUC - Setor 33,ativo,M,viúvo,amarela,Brasileira,servidor.43782560450@goias.gov.br,(62) 91713-7338,5.0,2024
Camila Dias Alves,40532825276,16/06/1961,SEDUC,07/01/2011,,GES-SEDUC-000036,TI,efetivo,6690.47,Unidade SEDUC - Setor 3,ativo,F,união estável,negra,Brasileira,servidor.40532825276@goias.gov.br,(62) 93868-8612,5.0,2024
Juliana Oliveira Nogueira,42910638650,08/05/1976,SEDUC,18/01/2001,,GES-SEDUC-000037,Médico,efetivo,5133.8,Unidade SEDUC - Setor 3,ativo,F,divorciado,amarela,Brasileira,servidor.42910638650@goias.gov.br,(62) 99897-8756,3.5,2025
Daniel Freitas Cardoso,98152258040,22/02/1977,SEDUC,23/12/2007,,GES-SEDUC-000038,Técnico,efetivo,7912.33,Unidade SEDUC - Setor 26,ativo,F,viúvo,negra,Brasileira,servidor.98152258040@goias.gov.br,(62) 94060-9129,4.4,2024
Fábio Lopes Carvalho,81475002629,05/12/1983,SEDUC,19/08/2005,,GES-SEDUC-000039,Analista,efetivo,4000.4,Unidade SEDUC - Setor 21,ativo,F,divorciado,amarela,Brasileira,servidor.81475002629@goias.gov.br,(62) 97981-3730,4.4,2024
Camila Lopes Cardoso,40939898004,11/02/2000,SEDUC,03/08/2018,,GES-SEDUC-000040,Administrador,cedido,13890.48,Unidade SEDUC - Setor 5,ativo,F,divorciada,branca,Brasileira,servidor.40939898004@goias.gov.br,(62) 91510-3339,4.7,2025
Paulo Araújo Araújo,13825391507,24/04/1999,SEDUC,13/09/2017,,GES-SEDUC-000041,Tecnologista,comissionado,3178.91,Unidade SEDUC - Setor 10,ativo,F,divorciada,negra,Brasileira,servidor.13825391507@goias.gov.br,(62) 98273-2259,4.1,2025
Rafael Dias Pereira,44156956040,02/12/1992,SEDUC,05/11/2019,,GES-SEDUC-000042,Analista,efetivo,8638.81,Unidade SEDUC - Setor 25,ativo,M,divorciado,negra,Brasileira,servidor.44156956040@goias.gov.br,(62) 98311-4515,5.0,2024
Eduarda Nunes Carvalho,79569994053,25/01/2004,SEDUC,10/03/2023,,GES-SEDUC-000043,Pedagogo,cedido,12283.0,Unidade SEDUC - Setor 21,ativo,F,solteira,negra,Brasileira,servidor.79569994053@goias.gov.br,(62) 95914-3580,4.4,2025
