nome,cpf,data_nascimento,sigla_orgao,data_admissao,data_saida,matricula,cargo,tipo_vinculo,salario_base,lotacao,status_servidor
Carla Freitas Rodrigues,156.917.633-77,1965-04-13,SSP,2005-04-08,,RH-SSP-000002,Contador,efetivo,10627.04,Unidade SSP - Setor 14,ativo
Juliana Souza Alves,336.872.831-86,1998-09-02,CBM,2020-08-23,,RH-CBM-000001,Administrativo,efetivo,6769.84,Unidade CBM - Setor 7,ativo
Eduarda Nunes Machado,956.726.871-13,1984-12-27,CBM,2023-09-27,,RH-CBM-000002,Técnico,efetivo,14491.6,Unidade CBM - Setor 1,ativo
Elisa Barbosa Vieira,173.232.712-23,1965-04-05,CBM,2002-05-21,,RH-CBM-000003,Motorista,efetivo,14000.62,Unidade CBM - Setor 36,ativo
Tatiana Costa Correia,010.810.490-73,1965-06-20,DGPP,2009-01-25,,RH-DGPP-000001,Contador,efetivo,14041.11,Unidade DGPP - Setor 6,ativo
Gustavo Cavalcanti Pinto,484.087.186-81,1982-02-01,DGPP,2001-11-13,,RH-DGPP-000002,Contador,efetivo,5850.96,Unidade DGPP - Setor 21,ativo
Samuel Alves Rodrigues,095.467.232-15,1960-11-01,DGPP,2015-07-23,,RH-DGPP-000003,Analista,efetivo,5902.84,Unidade DGPP - Setor 23,ativo
Otávio Silva Machado,303.497.445-05,1987-02-20,DGPP,2018-11-09,2026-02-28,RH-DGPP-000004,Motorista,comissionado,4011.96,Unidade DGPP - Setor 9,exonerado
Quitéria Correia Ramos,127.703.980-16,1990-10-05,DGPC,2013-04-29,,RH-DGPC-000001,Professor,comissionado,12699.41,Unidade DGPC - Setor 6,ativo
Renata Lopes Machado,026.277.841-61,1983-07-02,DGPC,2008-09-30,,RH-DGPC-000002,Analista,efetivo,13857.1,Unidade DGPC - Setor 10,ativo
Paulo Alves Barros,446.112.882-26,1963-07-31,DGPC,2011-01-19,,RH-DGPC-000003,Analista,comissionado,7554.62,Unidade DGPC - Setor 40,ativo
Paulo Cardoso Ribeiro,604.724.202-24,1989-10-20,DGPC,2025-05-07,,RH-DGPC-000004,Técnico,efetivo,3253.08,Unidade DGPC - Setor 31,afastado
Felipe Freitas Cardoso,564.829.691-60,1979-12-31,DGPC,1999-01-22,,RH-DGPC-000005,Assistente,cedido,6065.76,Unidade DGPC - Setor 33,ativo
Quitéria Oliveira Alves,432.888.097-70,1976-01-08,DGPC,2021-01-16,,RH-DGPC-000006,Segurança,efetivo,11323.98,Unidade DGPC - Setor 21,afastado
Patrícia Almeida Araújo,618.369.290-56,1999-02-13,SES,2017-02-19,,RH-SES-000001,Assessor,efetivo,10571.58,Unidade SES - Setor 22,ativo
Mariana Duarte Melo,740.471.128-28,1996-02-06,SES,2020-09-24,,RH-SES-000002,Engenheiro,efetivo,6321.11,Unidade SES - Setor 36,ativo
Nicolas Correia Costa,163.886.121-80,1988-11-28,SES,2017-05-03,,RH-SES-000003,Engenheiro,efetivo,6120.3,Unidade SES - Setor 40,ativo
Leonardo Rodrigues Vieira,668.247.997-26,1962-03-11,SES,1997-01-27,,RH-SES-000004,Assessor,comissionado,9535.35,Unidade SES - Setor 25,ativo
Otávio Vieira Souza,240.924.520-04,1998-02-21,SES,2018-08-05,,RH-SES-000005,Analista,efetivo,12725.54,Unidade SES - Setor 30,ativo
Leonardo Nunes Barbosa,547.057.230-74,2000-01-02,SES,2019-10-15,,RH-SES-000006,Enfermeiro,comissionado,6044.54,Unidade SES - Setor 34,ativo
Patrícia Ferreira Lima,284.784.574-70,1984-05-17,SES,2017-06-09,,RH-SES-000007,Contador,efetivo,10919.21,Unidade SES - Setor 14,ativo
Tatiana Santos Pinto,430.210.766-96,1978-07-22,SES,2015-05-27,,RH-SES-000008,Tecnologista,efetivo,13830.08,Unidade SES - Setor 20,ativo
Felipe Ribeiro Vieira,517.083.104-87,1962-08-09,SES,2012-06-11,,RH-SES-000009,Contador,cedido,9049.25,Unidade SES - Setor 26,ativo
André Freitas Melo,532.600.930-79,1994-01-04,PM,2019-05-08,,RH-PM-000001,Professor,efetivo,12533.51,Unidade PM - Setor 17,ativo
Carla Santos Dias,887.668.456-53,1980-02-12,PM,2001-03-12,,RH-PM-000002,Médico,comissionado,10069.63,Unidade PM - Setor 16,ativo
Hugo Ribeiro Moura,488.436.130-06,1975-01-20,PM,2022-03-06,,RH-PM-000003,Técnico,efetivo,13667.98,Unidade PM - Setor 37,ativo
Camila Fernandes Lopes,768.931.897-53,1970-11-10,PM,2020-05-21,,RH-PM-000004,Auditor,efetivo,10376.26,Unidade PM - Setor 1,ativo
Otávio Cardoso Fernandes,955.044.765-00,1973-09-22,PM,2014-07-15,,RH-PM-000005,Psicólogo,efetivo,12461.09,Unidade PM - Setor 38,ativo
Marina Teixeira Carvalho,863.041.111-26,2001-09-09,PM,2023-12-09,,RH-PM-000006,Psicólogo,efetivo,12134.64,Unidade PM - Setor 22,ativo
Paulo Costa Ramos,435.087.199-36,1996-06-17,PM,2025-06-01,,RH-PM-000007,Pedagogo,efetivo,3888.72,Unidade PM - Setor 15,ativo
Camila Vieira Cardoso,089.232.821-54,1998-03-04,PM,2024-07-15,,RH-PM-000008,Motorista,efetivo,4211.67,Unidade PM - Setor 13,ativo
Sofia Rocha Araújo,626.779.485-75,1985-05-22,PM,2007-11-24,,RH-PM-000009,Engenheiro,efetivo,11083.82,Unidade PM - Setor 9,ativo
Leonardo Costa Nunes,145.301.646-59,1969-03-15,PM,1995-07-20,,RH-PM-000010,Advogado,efetivo,3401.11,Unidade PM - Setor 31,ativo
Samuel Moura Ferreira,826.908.997-44,1964-10-22,PM,2001-10-21,,RH-PM-000011,Enfermeiro,efetivo,11743.99,Unidade PM - Setor 39,ativo
Daniel Alves Martins,927.107.987-60,1998-06-21,PM,2019-11-23,,RH-PM-000012,Administrador,efetivo,10527.01,Unidade PM - Setor 11,ativo
Sofia Nogueira Vieira,844.553.638-90,2002-02-27,PM,2023-06-03,,RH-PM-000013,Assistente,efetivo,13609.76,Unidade PM - Setor 38,ativo
Thiago Pinto Nogueira,899.641.661-41,1972-10-04,PM,1998-03-15,,RH-PM-000014,Pedagogo,efetivo,10857.53,Unidade PM - Setor 26,ativo
Fábio Rocha Pinto,658.197.763-21,1988-11-30,SEEL,2020-06-14,,RH-SEEL-000001,TI,comissionado,14495.0,Unidade SEEL - Setor 18,ativo
Fábio Costa Barros,277.194.088-45,1999-02-08,ABC,2024-03-23,,RH-ABC-000001,Assessor,efetivo,10640.56,Unidade ABC - Setor 11,ativo
Quitéria Teixeira Pereira,714.508.267-50,1963-04-17,SECAMI,2015-05-27,,RH-SECAMI-000001,Tecnologista,comissionado,12451.65,Unidade SECAMI - Setor 1,ativo
Renata Lima Nogueira,315.299.740-03,1999-08-28,SEMAD,2018-03-27,,RH-SEMAD-000001,Pedagogo,comissionado,8471.13,Unidade SEMAD - Setor 2,ativo
João Ramos Nogueira,112.237.267-11,2001-05-25,SGG,2020-09-17,,RH-SGG-000001,Contador,efetivo,7661.24,Unidade SGG - Setor 31,ativo
Eduarda Cardoso Duarte,909.749.123-10,2005-08-06,GOINFRA,2025-09-08,,RH-GOINFRA-000001,Advogado,comissionado,8740.53,Unidade GOINFRA - Setor 1,ativo
Elisa Vieira Teixeira,804.392.706-50,1989-10-28,EMATER,2020-03-14,,RH-EMATER-000001,Médico,cedido,5594.02,Unidade EMATER - Setor 25,ativo
Carla Lima Correia,642.177.070-37,1994-08-21,DPE-GO,2016-01-19,,RH-DPEGO-000001,TI,efetivo,3974.27,Unidade DPEGO - Setor 29,ativo
Quitéria Freitas Monteiro,609.029.657-00,1973-11-06,SEDS,1998-05-10,,RH-SEDS-000001,Administrador,efetivo,6644.22,Unidade SEDS - Setor 35,ativo
Helena Alves Alves,474.058.942-75,1985-10-12,AGRODEFESA,2008-11-17,,RH-AGRODEFESA-000001,Pedagogo,efetivo,6303.75,Unidade AGRODEFESA - Setor 2,ativo
Lucas Ribeiro Carvalho,822.091.843-80,1981-11-27,UEG,2023-09-24,,RH-UEG-000001,Assistente,efetivo,7275.77,Unidade UEG - Setor 16,ativo
Patrícia Ribeiro Rodrigues,430.789.005-17,1960-11-03,UEG,2015-11-14,,RH-UEG-000002,Pedagogo,comissionado,14355.52,Unidade UEG - Setor 20,afastado
Camila Pinto Nogueira,725.665.936-98,1969-07-26,SEDUC,2005-08-22,,RH-SEDUC-000001,Motorista,efetivo,12511.44,Unidade SEDUC - Setor 26,ativo
Yasmin Barbosa Lima,564.621.212-03,1991-08-10,SEDUC,2014-07-09,,RH-SEDUC-000002,Administrador,efetivo,10141.26,Unidade SEDUC - Setor 3,ativo
Mariana Lima Fernandes,232.128.353-03,1989-04-23,SEDUC,2024-01-27,,RH-SEDUC-000003,Auditor,efetivo,13487.8,Unidade SEDUC - Setor 11,ativo
Felipe Machado Araújo,232.890.949-36,1972-08-17,SEDUC,2005-02-13,,RH-SEDUC-000004,Assistente,efetivo,2962.85,Unidade SEDUC - Setor 35,ativo
Bruno Machado Teixeira,086.134.380-83,1969-09-20,SEDUC,2025-04-09,,RH-SEDUC-000005,Segurança,efetivo,3539.64,Unidade SEDUC - Setor 30,ativo
Patrícia Lima Melo,106.513.136-43,2004-03-12,SEDUC,2022-11-04,,RH-SEDUC-000006,Pedagogo,efetivo,13907.75,Unidade SEDUC - Setor 35,ativo
Igor Nunes Dias,635.320.986-01,1962-12-08,SEDUC,2025-12-18,,RH-SEDUC-000007,Auditor,efetivo,10822.46,Unidade SEDUC - Setor 35,ativo
Vinícius Santos Souza,205.641.757-06,1968-03-22,SEDUC,2024-09-23,,RH-SEDUC-000008,Advogado,efetivo,4273.31,Unidade SEDUC - Setor 37,ativo
João Lima Fernandes,640.283.986-81,1960-04-02,SEDUC,2007-06-09,,RH-SEDUC-000009,Professor,efetivo,4086.14,Unidade SEDUC - Setor 2,ativo
Otávio Pereira Rodrigues,273.092.224-58,1964-09-13,SEDUC,2000-09-07,,RH-SEDUC-000010,Psicólogo,efetivo,7035.86,Unidade SEDUC - Setor 38,ativo
Felipe Lopes Alves,907.661.488-15,1962-10-17,SEDUC,1997-09-23,2007-09-21,RH-SEDUC-000011,Psicólogo,efetivo,7989.68,Unidade SEDUC - Setor 6,exonerado
Sofia Vieira Correia,531.102.180-20,1989-03-04,SEDUC,2015-09-18,2022-02-26,RH-SEDUC-000012,Segurança,efetivo,12079.22,Unidade SEDUC - Setor 8,exonerado
André Lopes Teixeira,353.141.191-88,1995-10-09,SEDUC,2023-02-06,,RH-SEDUC-000013,Professor,efetivo,4585.88,Unidade SEDUC - Setor 31,ativo
Tatiana Machado Machado,206.848.857-43,1993-06-06,SEDUC,2014-05-06,,RH-SEDUC-000014,Advogado,efetivo,7606.46,Unidade SEDUC - Setor 28,ativo
Gabriela Barros Machado,525.063.930-56,1973-11-18,SEDUC,2024-06-16,,RH-SEDUC-000015,Auditor,efetivo,6059.25,Unidade SEDUC - Setor 15,ativo
Lucas Gomes Pinto,210.519.074-03,1987-09-20,SEDUC,2013-05-04,,RH-SEDUC-000016,Tecnologista,efetivo,11469.34,Unidade SEDUC - Setor 2,ativo
Samuel Ferreira Souza,011.916.343-88,1993-03-13,SEDUC,2018-03-08,,RH-SEDUC-000017,Contador,efetivo,10028.71,Unidade SEDUC - Setor 6,ativo
Hugo Nogueira Cavalcanti,793.632.725-83,2005-12-18,SEDUC,2024-04-12,,RH-SEDUC-000018,Psicólogo,efetivo,6408.51,Unidade SEDUC - Setor 15,ativo
Ana Ramos Lopes,545.944.323-79,1982-12-03,SEDUC,2013-11-27,,RH-SEDUC-000019,Engenheiro,efetivo,9031.21,Unidade SEDUC - Setor 15,ativo
Felipe Duarte Nogueira,922.884.830-83,1988-02-01,SEDUC,2018-12-31,,RH-SEDUC-000020,Técnico,efetivo,14104.54,Unidade SEDUC - Setor 11,ativo
Thiago Freitas Rocha,899.261.346-61,1995-12-04,SEDUC,2025-09-04,,RH-SEDUC-000021,Advogado,efetivo,3693.64,Unidade SEDUC - Setor 8,ativo
Eduarda Carvalho Ramos,545.998.242-16,1977-09-12,SEDUC,2003-06-24,,RH-SEDUC-000022,Pedagogo,efetivo,11690.56,Unidade SEDUC - Setor 29,ativo
Daniel Barros Correia,206.134.942-02,1987-03-02,SEDUC,2023-01-10,,RH-SEDUC-000023,Assistente,efetivo,8087.39,Unidade SEDUC - Setor 4,ativo
Samuel Almeida Teixeira,114.449.382-07,1963-09-06,SEDUC,2015-03-05,,RH-SEDUC-000024,Segurança,efetivo,4565.07,Unidade SEDUC - Setor 4,afastado
Otávio Ribeiro Araújo,180.742.563-08,1982-03-24,SEDUC,2019-11-12,2026-03-26,RH-SEDUC-000025,Auditor,comissionado,7332.77,Unidade SEDUC - Setor 22,exonerado
Vinícius Gomes Freitas,117.092.066-75,1985-06-28,SEDUC,2014-10-16,,RH-SEDUC-000026,Assistente,efetivo,4454.71,Unidade SEDUC - Setor 23,ativo
Otávio Ferreira Lopes,961.508.503-07,1989-06-20,SEDUC,2025-09-14,,RH-SEDUC-000027,Contador,efetivo,7042.39,Unidade SEDUC - Setor 12,ativo
Gabriela Correia Fernandes,466.695.023-03,1966-12-03,SEDUC,2008-04-08,,RH-SEDUC-000028,Contador,efetivo,6740.14,Unidade SEDUC - Setor 40,ativo
Diego Dias Nunes,363.936.101-66,1974-11-07,SEDUC,2014-08-19,,RH-SEDUC-000029,Segurança,efetivo,11557.88,Unidade SEDUC - Setor 29,ativo
Sofia Melo Correia,492.302.930-75,1992-12-31,SEDUC,2023-10-16,2026-02-28,RH-SEDUC-000030,Contador,efetivo,4696.08,Unidade SEDUC - Setor 13,exonerado
Karina Cardoso Nunes,552.880.568-62,1971-03-09,SEDUC,2007-10-15,,RH-SEDUC-000031,Contador,efetivo,7918.43,Unidade SEDUC - Setor 15,ativo
Olívia Santos Teixeira,987.849.680-52,1981-02-24,SEDUC,2016-06-20,2021-03-01,RH-SEDUC-000032,Técnico,comissionado,10404.54,Unidade SEDUC - Setor 10,exonerado
Fábio Santos Barbosa,335.151.843-92,2000-03-30,SEDUC,2025-02-21,,RH-SEDUC-000033,Médico,comissionado,9221.01,Unidade SEDUC - Setor 39,ativo
Juliana Rodrigues Pereira,346.345.831-43,1997-08-30,SEDUC,2022-10-29,,RH-SEDUC-000034,Psicólogo,efetivo,2992.29,Unidade SEDUC - Setor 33,ativo
Fábio Castro Araújo,437.825.604-50,1997-05-16,SEDUC,2017-06-21,,RH-SEDUC-000035,Assistente,comissionado,9165.76,Unidade SEDUC - Setor 33,ativo
Camila Dias Alves,405.328.252-76,1961-06-16,SEDUC,2011-01-07,,RH-SEDUC-000036,TI,efetivo,6690.47,Unidade SEDUC - Setor 3,ativo
Juliana Oliveira Nogueira,429.106.386-50,1976-05-08,SEDUC,2001-01-18,,RH-SEDUC-000037,Médico,efetivo,5133.8,Unidade SEDUC - Setor 3,ativo
Daniel Freitas Cardoso,981.522.580-40,1977-02-22,SEDUC,2007-12-23,,RH-SEDUC-000038,Técnico,efetivo,7912.33,Unidade SEDUC - Setor 26,ativo
Fábio Lopes Carvalho,814.750.026-29,1983-12-05,SEDUC,2005-08-19,,RH-SEDUC-000039,Analista,efetivo,4000.4,Unidade SEDUC - Setor 21,ativo
Camila Lopes Cardoso,409.398.980-04,2000-02-11,SEDUC,2018-08-03,,RH-SEDUC-000040,Administrador,cedido,13890.48,Unidade SEDUC - Setor 5,ativo
Paulo Araújo Araújo,138.253.915-07,1999-04-24,SEDUC,2017-09-13,,RH-SEDUC-000041,Tecnologista,comissionado,3178.91,Unidade SEDUC - Setor 10,ativo
Rafael Dias Pereira,441.569.560-40,1992-12-02,SEDUC,2019-11-05,,RH-SEDUC-000042,Analista,efetivo,8638.81,Unidade SEDUC - Setor 25,ativo
Eduarda Nunes Carvalho,795.699.940-53,2004-01-25,SEDUC,2023-03-10,,RH-SEDUC-000043,Pedagogo,cedido,12283.0,Unidade SEDUC - Setor 21,ativo
Hugo Almeida Lima,950.292.212-39,1975-08-14,SEDUC,2011-03-20,,RH-SEDUC-000044,Enfermeiro,efetivo,3107.52,Unidade SEDUC - Setor 36,ativo
Gustavo Pinto Rodrigues,542.958.469-02,2002-12-10,SEDUC,2023-11-21,,RH-SEDUC-000045,Contador,cedido,10315.36,Unidade SEDUC - Setor 29,ativo
Daniel Pereira Castro,329.293.027-80,1998-10-24,SEDUC,2022-06-14,,RH-SEDUC-000046,Contador,efetivo,4695.01,Unidade SEDUC - Setor 15,afastado
Yasmin Fernandes Ferreira,627.487.917-03,1984-08-15,SEDUC,2008-03-26,,RH-SEDUC-000047,Contador,efetivo,9724.16,Unidade SEDUC - Setor 38,ativo
Gustavo Santos Ramos,550.153.692-71,1983-09-29,SEDUC,2011-03-14,,RH-SEDUC-000048,Administrador,efetivo,10310.32,Unidade SEDUC - Setor 20,ativo
Juliana Martins Freitas,602.013.860-70,1974-03-07,SEDUC,2014-09-20,,RH-SEDUC-000049,Segurança,efetivo,12879.38,Unidade SEDUC - Setor 21,ativo
Igor Dias Gomes,680.936.391-28,1981-09-08,SEDUC,2020-08-10,,RH-SEDUC-000050,Técnico,efetivo,13861.0,Unidade SEDUC - Setor 40,ativo
Thiago Ramos Santos,692.984.556-66,2004-09-13,SEDUC,2025-08-02,,RH-SEDUC-000051,Assistente,comissionado,8713.7,Unidade SEDUC - Setor 16,ativo
Gabriela Lopes Lima,187.693.049-71,2002-03-21,SEDUC,2023-06-04,,RH-SEDUC-000052,Professor,efetivo,11737.12,Unidade SEDUC - Setor 24,ativo
Renata Cardoso Pereira,913.237.589-17,1994-08-29,SEDUC,2023-12-20,,RH-SEDUC-000053,Contador,cedido,7408.67,Unidade SEDUC - Setor 22,ativo
Leonardo Castro Vieira,719.427.749-23,1963-06-29,SEDUC,2001-02-23,,RH-SEDUC-000054,Contador,efetivo,8831.42,Unidade SEDUC - Setor 21,ativo
Leonardo Santos Araújo,735.550.344-80,2003-12-12,GOIASPREV,2025-12-02,,RH-GOIASPREV-000001,Advogado,efetivo,14264.81,Unidade GOIASPREV - Setor 38,ativo
Yasmin Melo Gomes,602.680.268-15,2003-02-07,GOIASPREV,2022-01-22,,RH-GOIASPREV-000002,Enfermeiro,efetivo,13894.0,Unidade GOIASPREV - Setor 8,ativo
Yasmin Costa Souza,388.666.612-36,1978-04-17,GOIASPREV,2014-09-13,,RH-GOIASPREV-000003,Contador,efetivo,9362.38,Unidade GOIASPREV - Setor 31,ativo
Paulo Cardoso Machado,421.285.609-34,1983-09-19,GOIASPREV,2023-06-08,,RH-GOIASPREV-000004,Motorista,efetivo,14183.05,Unidade GOIASPREV - Setor 20,ativo
Patrícia Melo Monteiro,567.519.055-48,1984-07-13,GOIASPREV,2015-06-10,,RH-GOIASPREV-000005,Auditor,comissionado,12214.01,Unidade GOIASPREV - Setor 19,ativo
Patrícia Cardoso Machado,036.700.933-11,2002-12-24,GOIASPREV,2022-03-07,,RH-GOIASPREV-000006,Professor,efetivo,10003.42,Unidade GOIASPREV - Setor 38,ativo
Leonardo Alves Lima,425.978.050-69,1968-12-27,GOIASPREV,2013-07-16,,RH-GOIASPREV-000007,Analista,cedido,14241.56,Unidade GOIASPREV - Setor 11,ativo
Olívia Fernandes Oliveira,474.108.283-07,1965-04-22,GOIASPREV,1999-01-05,,RH-GOIASPREV-000008,Engenheiro,efetivo,12599.98,Unidade GOIASPREV - Setor 3,ativo
Patrícia Castro Ramos,611.878.353-58,1969-08-17,GOIASPREV,2010-01-11,,RH-GOIASPREV-000009,Contador,comissionado,8275.84,Unidade GOIASPREV - Setor 13,ativo
Mariana Carvalho Monteiro,519.295.872-52,1990-03-30,GOIASPREV,2025-12-23,,RH-GOIASPREV-000010,Assessor,efetivo,3814.83,Unidade GOIASPREV - Setor 7,ativo
Beatriz Moura Cavalcanti,583.915.549-70,1981-02-16,GOIASPREV,2019-03-02,,RH-GOIASPREV-000011,TI,efetivo,10448.1,Unidade GOIASPREV - Setor 16,ativo
Sofia Araújo Rocha,183.932.459-74,1987-11-25,GOIASPREV,2021-05-19,,RH-GOIASPREV-000012,Enfermeiro,comissionado,8394.73,Unidade GOIASPREV - Setor 30,ativo
Diego Rodrigues Pinto,447.755.833-36,1967-05-06,GOIASPREV,2018-07-28,,RH-GOIASPREV-000013,Técnico,efetivo,9207.5,Unidade GOIASPREV - Setor 33,ativo
Tatiana Ramos Ferreira,810.275.639-02,1970-06-05,GOIASPREV,2025-07-07,,RH-GOIASPREV-000014,Contador,efetivo,3450.94,Unidade GOIASPREV - Setor 9,ativo
Tatiana Rodrigues Oliveira,182.696.564-53,1982-10-30,GOIASPREV,2000-12-18,,RH-GOIASPREV-000015,Assessor,efetivo,3545.99,Unidade GOIASPREV - Setor 4,ativo
Igor Melo Melo,288.873.973-92,1997-09-17,GOIASPREV,2019-11-28,2024-09-08,RH-GOIASPREV-000016,Assistente,efetivo,10542.97,Unidade GOIASPREV - Setor 35,exonerado
Thiago Vieira Fernandes,623.553.272-54,1979-12-24,GOIASPREV,1998-02-18,,RH-GOIASPREV-000017,Assessor,efetivo,12433.32,Unidade GOIASPREV - Setor 16,ativo
Gustavo Santos Dias,556.822.663-66,1970-02-14,GOIASPREV,1996-06-11,,RH-GOIASPREV-000018,Médico,efetivo,9749.15,Unidade GOIASPREV - Setor 29,ativo
Sofia Rocha Pinto,434.966.811-01,1965-01-23,GOIASPREV,2001-04-14,,RH-GOIASPREV-000019,Advogado,efetivo,11838.7,Unidade GOIASPREV - Setor 21,ativo
Lucas Lopes Machado,904.202.440-26,1965-06-20,GOIASPREV,2019-12-22,,RH-GOIASPREV-000020,Psicólogo,efetivo,6829.65,Unidade GOIASPREV - Setor 25,afastado
Thiago Gomes Vieira,083.624.197-50,2002-06-25,GOIASPREV,2021-10-31,,RH-GOIASPREV-000021,Administrativo,efetivo,14123.1,Unidade GOIASPREV - Setor 36,ativo
Mariana Souza Cardoso,555.832.411-28,2000-05-08,GOIASPREV,2022-07-05,,RH-GOIASPREV-000022,Tecnologista,efetivo,9854.19,Unidade GOIASPREV - Setor 5,ativo
Mariana Pereira Costa,719.942.152-40,1987-03-14,GOIASPREV,2025-08-02,,RH-GOIASPREV-000023,Enfermeiro,efetivo,11034.09,Unidade GOIASPREV - Setor 26,ativo
Natália Ramos Vieira,453.791.021-66,1992-03-25,GOIASPREV,2017-02-22,,RH-GOIASPREV-000024,Técnico,efetivo,11252.24,Unidade GOIASPREV - Setor 21,ativo
Tatiana Cavalcanti Duarte,926.846.320-22,1973-02-02,GOIASPREV,1995-09-23,,RH-GOIASPREV-000025,Motorista,efetivo,6659.42,Unidade GOIASPREV - Setor 25,ativo
Camila Ribeiro Lima,508.642.885-81,2004-01-05,GOIASPREV,2024-08-05,,RH-GOIASPREV-000026,Analista,efetivo,13527.72,Unidade GOIASPREV - Setor 35,ativo
João Silva Martins,785.887.113-70,1972-05-02,GOIASPREV,2023-04-17,,RH-GOIASPREV-000027,Contador,efetivo,3507.27,Unidade GOIASPREV - Setor 40,ativo
Patrícia Nogueira Santos,107.643.829-69,1961-07-02,GOIASPREV,2018-09-30,,RH-GOIASPREV-000028,Contador,efetivo,10686.19,Unidade GOIASPREV - Setor 12,ativo
Fábio Araújo Monteiro,782.753.569-03,1991-10-19,GOIASPREV,2015-10-17,,RH-GOIASPREV-000029,Pedagogo,efetivo,14385.73,Unidade GOIASPREV - Setor 15,ativo
Karina Ferreira Ramos,268.699.850-49,2002-09-14,GOIASPREV,2021-01-06,,RH-GOIASPREV-000030,Assessor,efetivo,6675.87,Unidade GOIASPREV - Setor 7,ativo
André Santos Martins,994.025.875-51,1985-02-25,GOIASPREV,2004-08-17,,RH-GOIASPREV-000031,TI,efetivo,12402.08,Unidade GOIASPREV - Setor 26,ativo
Isabela Ferreira Correia,165.107.769-01,1989-10-05,GOIASPREV,2016-05-14,,RH-GOIASPREV-000032,Auditor,efetivo,7913.93,Unidade GOIASPREV - Setor 5,ativo
Elisa Lopes Carvalho,934.868.467-10,2004-01-06,GOIASPREV,2023-04-18,,RH-GOIASPREV-000033,TI,efetivo,3802.62,Unidade GOIASPREV - Setor 40,ativo
Gabriela Ferreira Silva,682.525.371-97,1973-11-03,GOIASPREV,2012-06-23,,RH-GOIASPREV-000034,Motorista,efetivo,11707.75,Unidade GOIASPREV - Setor 7,ativo
Camila Machado Ferreira,571.666.576-42,1996-08-09,GOIASPREV,2016-12-02,,RH-GOIASPREV-000035,Segurança,efetivo,6595.83,Unidade GOIASPREV - Setor 25,ativo
Elisa Ribeiro Lima,210.611.572-53,1981-10-11,GOIASPREV,2025-06-06,,RH-GOIASPREV-000036,Professor,efetivo,8569.55,Unidade GOIASPREV - Setor 5,ativo
Marina Almeida Vieira,051.277.314-95,1992-05-25,GOIASPREV,2016-01-15,,RH-GOIASPREV-000037,Técnico,efetivo,2879.18,Unidade GOIASPREV - Setor 26,afastado
Mariana Costa Teixeira,412.010.083-95,1972-03-18,GOIASPREV,2008-06-23,,RH-GOIASPREV-000038,Engenheiro,cedido,14134.09,Unidade GOIASPREV - Setor 19,ativo
Mariana Cavalcanti Fernandes,592.926.468-69,1992-09-29,GOIASPREV,2013-04-18,,RH-GOIASPREV-000039,Engenheiro,efetivo,9236.16,Unidade GOIASPREV - Setor 30,afastado
João Lopes Melo,045.037.528-55,1987-03-03,GOIASPREV,2010-08-06,,RH-GOIASPREV-000040,Assistente,efetivo,9795.83,Unidade GOIASPREV - Setor 38,ativo
Camila Ribeiro Oliveira,119.689.173-73,1967-08-16,GOIASPREV,1999-11-27,,RH-GOIASPREV-000041,TI,cedido,10726.42,Unidade GOIASPREV - Setor 26,ativo
